,Расстояние
42776,1877
42777,1834
42778,1834
42779,1877
42780,1877
42781,3772
42782,3772
42783,1877
42784,1877
42785,1877
42786,1877
42787,1877
42788,1877
42789,1877
42790,1877
42791,1877
42792,1877
42793,1877
42794,2308
42795,3772
42796,2333
42797,2333
42798,3246
42799,1425
42800,1425
42801,1425
42802,1877
42803,3772
42804,1877
42805,3772
42806,3772
42807,2356
42808,2356
42809,2333
42810,2333
42811,1877
42812,1877
42813,1877
42814,1877
42815,1877
42816,1877
42817,1877
42818,1877
42819,1877
42820,1877
42821,1877
42822,1877
42823,1877
42824,2965
42825,3772
42826,3772
42827,1877
42828,1877
42829,1877
42830,1877
42831,1877
42832,1877
42833,1877
42834,2333
42835,1877
42836,1877
42837,1877
42838,1877
42839,1877
42840,1877
42841,3602
42842,1877
42843,1877
42844,1877
42845,1877
42846,1877
42847,2024
42848,2024
42849,2024
42850,1877
42851,2333
42852,2333
42853,3602
42854,3602
42855,2333
42856,2333
42857,1877
42858,2146
42859,2146
42860,1877
42861,2308
42862,1923
42863,1923
42864,1877
42865,1877
42866,2356
42867,2356
42868,6982
42869,6982
42870,1834
42871,1834
42872,1877
42873,1877
42874,1877
42875,1877
42876,1877
42877,1877
42878,1877
42879,1877
42880,1877
42881,1877
42882,2194
42883,2194
42884,2356
42885,2356
42886,2356
42887,1834
42888,1834
42889,1877
42890,1877
42891,1877
42892,1877
42893,1877
42894,2333
42895,3246
42896,3246
42897,1877
42898,2308
42899,2308
42900,1877
42901,2356
42902,2356
42903,1877
42904,1877
42905,1877
42906,1877
42907,2308
42908,2308
42909,2333
42910,1877
42911,1877
42912,2782
42913,1877
42914,1877
42915,3246
42916,3602
42917,3602
42918,3602
42919,0
42920,0
42921,1877
42922,997
42923,3246
42924,3246
42925,1877
42926,1923
42927,1877
42928,1877
42929,1877
42930,2333
42931,1877
42932,1877
42933,1877
42934,1877
42935,1877
42936,1877
42937,1697
42938,1697
42939,1877
42940,1877
42941,2700
42942,2700
42943,3602
42944,1877
42945,1877
42946,2333
42947,2333
42948,2356
42949,1425
42950,1697
42951,1697
42952,1877
42953,1877
42954,1877
42955,1923
42956,1877
42957,1877
42958,1877
42959,2194
42960,1877
42961,1877
42962,1877
42963,1877
42964,1877
42965,1877
42966,1877
42967,1877
42968,2374
42969,2374
42970,1877
42971,3552
42972,3552
42973,3552
42974,3552
42975,1877
42976,1877
42977,1877
42978,1877
42979,1877
42980,3772
42981,2146
42982,1877
42983,1877
42984,2356
42985,2356
42986,2356
42987,2333
42988,2333
42989,6982
42990,6982
42991,1877
42992,44
42993,2732
42994,2732
42995,1877
42996,1877
42997,1877
42998,1877
42999,2356
43000,2356
43001,2356
43002,1877
43003,1877
43004,1877
43005,1877
43006,1877
43007,1877
43008,1877
43009,1877
43010,1877
43011,1877
43012,1877
43013,1425
43014,1945
43015,1945
43016,1945
43017,2194
43018,2194
43019,2194
43020,1877
43021,1877
43022,2333
43023,1877
43024,1877
43025,1877
43026,2044
43027,2044
43028,3772
43029,3772
43030,2194
43031,1877
43032,44
43033,2356
43034,1877
43035,2333
43036,2333
43037,2333
43038,2333
43039,1877
43040,1877
43041,1877
43042,1877
43043,1877
43044,2356
43045,1877
43046,1877
43047,1877
43048,2333
43049,1877
43050,1877
43051,1877
43052,1877
43053,1877
43054,1962
43055,3772
43056,3772
43057,3772
43058,3772
43059,1877
43060,1877
43061,1877
43062,1877
43063,1877
43064,1877
43065,1877
43066,1877
43067,6489
43068,1877
43069,1877
43070,1877
43071,1877
43072,1877
43073,1877
43074,1877
43075,1877
43076,1877
43077,1877
43078,1923
43079,1923
43080,1877
43081,1877
43082,2146
43083,1877
43084,3602
43085,1877
43086,3602
43087,3602
43088,1877
43089,1877
43090,1877
43091,1877
43092,2333
43093,2333
43094,1877
43095,1877
43096,1877
43097,2402
43098,1877
43099,1877
43100,3772
43101,3772
43102,2333
43103,1207
43104,2333
43105,436
43106,1877
43107,3754
43108,1877
43109,1877
43110,1877
43111,2333
43112,2333
43113,2333
43114,1877
43115,1877
43116,1877
43117,1877
43118,3772
43119,3772
43120,1877
43121,2782
43122,2782
43123,1877
43124,1877
43125,1697
43126,3602
43127,1877
43128,1877
43129,1877
43130,2194
43131,1877
43132,1877
43133,1877
43134,1877
43135,1877
43136,1877
43137,1877
43138,1877
43139,2700
43140,1877
43141,1877
43142,1877
43143,1877
43144,2308
43145,2308
43146,2308
43147,1361
43148,1361
43149,2356
43150,2194
43151,2194
43152,2194
43153,2333
43154,2333
43155,2333
43156,2194
43157,1877
43158,899
43159,1834
43160,1877
43161,1877
43162,1923
43163,1923
43164,2333
43165,1877
43166,1877
43167,2333
43168,2333
43169,1697
43170,1697
43171,1697
43172,1425
43173,1425
43174,1877
43175,1834
43176,1877
43177,1877
43178,3772
43179,1877
43180,1877
43181,1877
43182,1877
43183,1877
43184,1877
43185,2194
43186,2333
43187,3602
43188,1877
43189,1877
43190,3602
43191,3602
43192,1877
43193,1877
43194,1877
43195,2732
43196,3246
43197,1877
43198,1877
43199,1877
43200,1877
43201,1877
43202,3772
43203,3772
43204,3772
43205,3772
43206,1834
43207,1834
43208,1877
43209,1877
43210,2333
43211,1877
43212,1877
43213,1877
43214,3602
43215,3602
43216,1877
43217,0
43218,1877
43219,1877
43220,2782
43221,1877
43222,1877
43223,1877
43224,3602
43225,2333
43226,1877
43227,1877
43228,2700
43229,1877
43230,1877
43231,1877
43232,1877
43233,2333
43234,2333
43235,1877
43236,1877
43237,1923
43238,3772
43239,3772
43240,1877
43241,2333
43242,2333
43243,2333
43244,1877
43245,1877
43246,1877
43247,1877
43248,1877
43249,1877
43250,3772
43251,3772
43252,2356
43253,3772
43254,2782
43255,1425
43256,1425
43257,1877
43258,1877
43259,2308
43260,2308
43261,1877
43262,1877
43263,1877
43264,1877
43265,1877
43266,1877
43267,1877
43268,1877
43269,1877
43270,1877
43271,1877
43272,1877
43273,1877
43274,1877
43275,1877
43276,1877
43277,1877
43278,6982
43279,6982
43280,6982
43281,1877
43282,1877
43283,1877
43284,1923
43285,1877
43286,2083
43287,2083
43288,1877
43289,1877
43290,4909
43291,4909
43292,2333
43293,2333
43294,9307
43295,9307
43296,3772
43297,1877
43298,2194
43299,1877
43300,1877
43301,1877
43302,1877
43303,1877
43304,1877
43305,1877
43306,2146
43307,2146
43308,2146
43309,1877
43310,1877
43311,1877
43312,436
43313,436
43314,1962
43315,1962
43316,1361
43317,2333
43318,1877
43319,1834
43320,1834
43321,1877
43322,1877
43323,1877
43324,1877
43325,1877
43326,1877
43327,1877
43328,1877
43329,1877
43330,1877
43331,1877
43332,1877
43333,1877
43334,2732
43335,2732
43336,2732
43337,1877
43338,2146
43339,2146
43340,1877
43341,2670
43342,1877
43343,2308
43344,2308
43345,2308
43346,2308
43347,3772
43348,3772
43349,1877
43350,1877
43351,3246
43352,3246
43353,1877
43354,1877
43355,1877
43356,2356
43357,2356
43358,3246
43359,2194
43360,2194
43361,3602
43362,1923
43363,1877
43364,1877
43365,1877
43366,1877
43367,1877
43368,1877
43369,1877
43370,1877
43371,2356
43372,2356
43373,1877
43374,1877
43375,1877
43376,1877
43377,1877
43378,2333
43379,2333
43380,1877
43381,1877
43382,1877
43383,1877
43384,2333
43385,1877
43386,436
43387,436
43388,1207
43389,1923
43390,1923
43391,1877
43392,1877
43393,1877
43394,1877
43395,1945
43396,1877
43397,1877
43398,1877
43399,1877
43400,1877
43401,1877
43402,436
43403,436
43404,1877
43405,1877
43406,1877
43407,2333
43408,2333
43409,1923
43410,2782
43411,2782
43412,2782
43413,2732
43414,2083
43415,2333
43416,2333
43417,2333
43418,2333
43419,2333
43420,1877
43421,6982
43422,1877
43423,1877
43424,1877
43425,1877
43426,1923
43427,1923
43428,3602
43429,1877
43430,1877
43431,1877
43432,1877
43433,2194
43434,2194
43435,1697
43436,1697
43437,2333
43438,3602
43439,2356
43440,2356
43441,2782
43442,2782
43443,1877
43444,1877
43445,2782
43446,2333
43447,2333
43448,2333
43449,2333
43450,1877
43451,1877
43452,1697
43453,1877
43454,1877
43455,1877
43456,2333
43457,2333
43458,2333
43459,1877
43460,1877
43461,1877
43462,1877
43463,3772
43464,3772
43465,3772
43466,3772
43467,3772
43468,3772
43469,3772
43470,3772
43471,2782
43472,2194
43473,1923
43474,1923
43475,1877
43476,1877
43477,1877
43478,1877
43479,1834
43480,1834
43481,1877
43482,2333
43483,804
43484,804
43485,2661
43486,2661
43487,44
43488,80
43489,1877
43490,2661
43491,3602
43492,1877
43493,1877
43494,1877
43495,1877
43496,2356
43497,2356
43498,1877
43499,1877
43500,1877
43501,1877
43502,1877
43503,1877
43504,1877
43505,2782
43506,2782
43507,2782
43508,1877
43509,1877
43510,1877
43511,1877
43512,1877
43513,1877
43514,1877
43515,1877
43516,1877
43517,1877
43518,2732
43519,2732
43520,1877
43521,2700
43522,2700
43523,1877
43524,1877
43525,1877
43526,1877
43527,2732
43528,2732
43529,2333
43530,6982
43531,6982
43532,2194
43533,1923
43534,1877
43535,1877
43536,1877
43537,1877
43538,1877
43539,1697
43540,1697
43541,2333
43542,2333
43543,2333
43544,2333
43545,1697
43546,1697
43547,1877
43548,1877
43549,1877
43550,1877
43551,1877
43552,1877
43553,1877
43554,1877
43555,1877
43556,3246
43557,3246
43558,3246
43559,1877
43560,1877
43561,1877
43562,2732
43563,2732
43564,1877
43565,1877
43566,1877
43567,6982
43568,6982
43569,1877
43570,1877
43571,1877
43572,1877
43573,1877
43574,1877
43575,3246
43576,1877
43577,1877
43578,1697
43579,1877
43580,1697
43581,1877
43582,1877
43583,1877
43584,1877
43585,2700
43586,2700
43587,1877
43588,1877
43589,1877
43590,1877
43591,1877
43592,1877
43593,1877
43594,1877
43595,1877
43596,2476
43597,1877
43598,1877
43599,1877
43600,1877
43601,1877
43602,1877
43603,1877
43604,1877
43605,1877
43606,1877
43607,1877
43608,1877
43609,1877
43610,2700
43611,2700
43612,1877
43613,1877
43614,1877
43615,1877
43616,1877
43617,1877
43618,1877
43619,1877
43620,1877
43621,1877
43622,1877
43623,2333
43624,2356
43625,2356
43626,1877
43627,1877
43628,1877
43629,1877
43630,1877
43631,1834
43632,1834
43633,1877
43634,1877
43635,1923
43636,1877
43637,1877
43638,2333
43639,2333
43640,1877
43641,1877
43642,1877
43643,1877
43644,3351
43645,3351
43646,1834
43647,1697
43648,2194
43649,2194
43650,1877
43651,1877
43652,1877
43653,2782
43654,2782
43655,1877
43656,2333
43657,1697
43658,1877
43659,6982
43660,6982
43661,1877
43662,1877
43663,1877
43664,1877
43665,1877
43666,1877
43667,1877
43668,1877
43669,1877
43670,1877
43671,1877
43672,1877
43673,1877
43674,1877
43675,1877
43676,3772
43677,3772
43678,1877
43679,1877
43680,1877
43681,1877
43682,1877
43683,1877
43684,1877
43685,1877
43686,1923
43687,1923
43688,1877
43689,1877
43690,1877
43691,2661
43692,2661
43693,2194
43694,2194
43695,2194
43696,2194
43697,1877
43698,2333
43699,2333
43700,0
43701,0
43702,1877
43703,1877
43704,1877
43705,1877
43706,1877
43707,1877
43708,1877
43709,1877
43710,1361
43711,1877
43712,436
43713,436
43714,1923
43715,1697
43716,2333
43717,2333
43718,2194
43719,1697
43720,1697
43721,1877
43722,1877
43723,2356
43724,2356
43725,1877
43726,1877
43727,1877
43728,2146
43729,2700
43730,2700
43731,1877
43732,1877
43733,1877
43734,1877
43735,1962
43736,1962
43737,1877
43738,1962
43739,1923
43740,1923
43741,2194
43742,2356
43743,2356
43744,2356
43745,2356
43746,2333
43747,1877
43748,2333
43749,2333
43750,2333
43751,2356
43752,1877
43753,1877
43754,2732
43755,1877
43756,2356
43757,2356
43758,1588
43759,1877
43760,1877
43761,1877
43762,3686
43763,1877
43764,1877
43765,1877
43766,1877
43767,1877
43768,2476
43769,2476
43770,1697
43771,1877
43772,1877
43773,1877
43774,1877
43775,1877
43776,6982
43777,2965
43778,2965
43779,2965
43780,2965
43781,2333
43782,6489
43783,6489
43784,1923
43785,1923
43786,1877
43787,1877
43788,1877
43789,1877
43790,1877
43791,1877
43792,1877
43793,1877
43794,1877
43795,1877
43796,1877
43797,1877
43798,1877
43799,1877
43800,1877
43801,1697
43802,1697
43803,1877
43804,1877
43805,1877
43806,1877
43807,1877
43808,1877
43809,2194
43810,2356
43811,2333
43812,2333
43813,1877
43814,1877
43815,1877
43816,1877
43817,1877
43818,1877
43819,1877
43820,1877
43821,1877
43822,1877
43823,2308
43824,2194
43825,2194
43826,2194
43827,2194
43828,2333
43829,2333
43830,1923
43831,1877
43832,1877
43833,1877
43834,1877
43835,1877
43836,1877
43837,1877
43838,1877
43839,1877
43840,1877
43841,1877
43842,1877
43843,2333
43844,2333
43845,2333
43846,1877
43847,1877
43848,1877
43849,1877
43850,1877
43851,1877
43852,2333
43853,1877
43854,1877
43855,2356
43856,2333
43857,2333
43858,2333
43859,0
43860,2333
43861,2476
43862,2476
43863,2356
43864,1877
43865,1877
43866,1697
43867,1697
43868,1877
43869,1877
43870,1877
43871,3004
43872,3004
43873,6982
43874,1877
43875,1877
43876,2782
43877,2782
43878,2308
43879,436
43880,1804
43881,1450
43882,1450
43883,1877
43884,1877
43885,1877
43886,1697
43887,1877
43888,1877
43889,1877
43890,1877
43891,1877
43892,1877
43893,1877
43894,1877
43895,1877
43896,1877
43897,1877
43898,1877
43899,2782
43900,2782
43901,4387
43902,4387
43903,1877
43904,1877
43905,1877
43906,3602
43907,2782
43908,3602
43909,3602
43910,0
43911,0
43912,1877
43913,1877
43914,1877
43915,1877
43916,1877
43917,1877
43918,1877
43919,1877
43920,1877
43921,2356
43922,2356
43923,2356
43924,1923
43925,1923
43926,2308
43927,2308
43928,1877
43929,1877
43930,2732
43931,6982
43932,6982
43933,2732
43934,2194
43935,1877
43936,2333
43937,1877
43938,2356
43939,2356
43940,3602
43941,3602
43942,2356
43943,1877
43944,1877
43945,1877
43946,1877
43947,1877
43948,2333
43949,1877
43950,1877
43951,1877
43952,9307
43953,1877
43954,3602
43955,753
43956,1877
43957,753
43958,1877
43959,1877
43960,1877
43961,1877
43962,1877
43963,1877
43964,1877
43965,1877
43966,1877
43967,1877
43968,1877
43969,1877
43970,1877
43971,2194
43972,1877
43973,1877
43974,1877
43975,1877
43976,1877
43977,1877
43978,1877
43979,1877
43980,2194
43981,1877
43982,1877
43983,755
43984,1877
43985,1877
43986,1877
43987,2333
43988,2194
43989,2194
43990,2333
43991,1877
43992,6982
43993,6982
43994,3602
43995,3602
43996,2333
43997,2333
43998,2333
43999,1877
44000,1877
44001,1877
44002,1877
44003,1877
44004,2194
44005,2333
44006,2194
44007,2194
44008,1877
44009,1877
44010,1923
44011,1923
44012,1877
44013,1877
44014,1877
44015,2333
44016,2333
44017,1877
44018,2617
44019,1877
44020,1877
44021,3246
44022,3246
44023,1877
44024,1877
44025,1877
44026,436
44027,436
44028,2333
44029,1877
44030,3246
44031,3246
44032,2333
44033,1877
44034,1877
44035,2356
44036,1877
44037,2308
44038,3772
44039,1877
44040,1877
44041,1877
44042,1877
44043,2356
44044,2356
44045,2356
44046,0
44047,2333
44048,1877
44049,1877
44050,1877
44051,2700
44052,2700
44053,2700
44054,2356
44055,1877
44056,1877
44057,753
44058,753
44059,753
44060,1877
44061,1877
44062,1877
44063,1877
44064,1877
44065,3246
44066,3246
44067,3246
44068,2333
44069,2333
44070,1877
44071,1877
44072,1877
44073,1877
44074,1361
44075,1877
44076,1877
44077,1923
44078,1923
44079,1923
44080,1877
44081,1877
44082,1877
44083,1877
44084,1877
44085,1877
44086,1877
44087,1877
44088,1877
44089,1877
44090,3336
44091,1877
44092,1877
44093,1877
44094,1877
44095,2308
44096,2308
44097,1877
44098,1877
44099,1877
44100,1877
44101,1877
44102,1877
44103,1877
44104,1877
44105,1877
44106,1877
44107,1877
44108,1877
44109,1877
44110,1877
44111,1877
44112,3772
44113,3772
44114,1877
44115,1877
44116,2333
44117,2333
44118,2194
44119,2194
44120,1877
44121,1877
44122,1877
44123,1877
44124,1877
44125,1877
44126,1877
44127,1877
44128,2194
44129,2194
44130,2308
44131,2308
44132,2333
44133,2333
44134,1877
44135,1877
44136,1877
44137,1877
44138,6982
44139,1361
44140,3602
44141,2333
44142,2333
44143,2333
44144,2333
44145,1877
44146,1877
44147,1877
44148,1923
44149,1923
44150,2333
44151,1877
44152,1877
44153,1877
44154,2194
44155,2194
44156,2194
44157,2194
44158,1962
44159,1962
44160,1877
44161,3602
44162,3602
44163,1877
44164,1923
44165,1923
44166,1877
44167,1877
44168,1877
44169,2333
44170,2194
44171,1877
44172,3046
44173,3046
44174,1877
44175,2333
44176,1877
44177,1877
44178,1877
44179,1877
44180,2333
44181,1834
44182,1834
44183,1834
44184,1877
44185,2333
44186,2333
44187,2333
44188,3772
44189,3772
44190,1877
44191,1877
44192,2333
44193,1877
44194,1877
44195,1923
44196,1877
44197,1877
44198,1877
44199,1877
44200,1877
44201,2333
44202,1877
44203,1877
44204,3772
44205,3772
44206,2083
44207,3246
44208,3246
44209,1877
44210,1877
44211,2308
44212,1697
44213,3602
44214,3602
44215,2356
44216,2308
44217,2308
44218,1877
44219,1877
44220,1877
44221,1877
44222,2356
44223,0
44224,0
44225,0
44226,1877
44227,1877
44228,1877
44229,1877
44230,1877
44231,1877
44232,1877
44233,1877
44234,1877
44235,1877
44236,1877
44237,2333
44238,2333
44239,436
44240,436
44241,436
44242,2732
44243,2194
44244,2194
44245,1877
44246,1877
44247,1877
44248,1877
44249,1877
44250,1877
44251,1877
44252,1877
44253,1877
44254,1877
44255,1877
44256,1877
44257,2333
44258,2333
44259,1877
44260,1877
44261,1877
44262,1877
44263,1877
44264,1877
44265,4395
44266,1632
44267,1632
44268,1877
44269,1877
44270,1877
44271,1877
44272,1877
44273,1877
44274,1877
44275,1877
44276,2194
44277,2194
44278,1877
44279,1877
44280,1877
44281,1877
44282,1877
44283,3602
44284,3602
44285,1877
44286,1877
44287,2356
44288,2356
44289,2356
44290,2333
44291,2333
44292,1877
44293,1877
44294,1877
44295,1877
44296,1877
44297,1877
44298,1923
44299,1923
44300,1877
44301,1877
44302,2356
44303,2356
44304,1877
44305,1877
44306,1877
44307,2356
44308,1877
44309,1877
44310,1877
44311,1877
44312,1877
44313,3772
44314,1877
44315,1877
44316,1877
44317,2732
44318,1877
44319,1923
44320,1923
44321,1877
44322,3772
44323,1877
44324,1877
44325,3602
44326,1697
44327,1697
44328,1877
44329,2194
44330,2700
44331,2333
44332,2333
44333,2333
44334,6489
44335,2194
44336,2194
44337,2700
44338,2700
44339,1877
44340,1877
44341,3246
44342,3246
44343,3246
44344,997
44345,997
44346,997
44347,2333
44348,2333
44349,2782
44350,2782
44351,1877
44352,1877
44353,2356
44354,2356
44355,2356
44356,1877
44357,1877
44358,2194
44359,1877
44360,2308
44361,2308
44362,1877
44363,1877
44364,1877
44365,1877
44366,1877
44367,1877
44368,1877
44369,1834
44370,1834
44371,1834
44372,1877
44373,1877
44374,1877
44375,2356
44376,2356
44377,2333
44378,2333
44379,1877
44380,1877
44381,1877
44382,3351
44383,3351
44384,1877
44385,1877
44386,1877
44387,1877
44388,1877
44389,1877
44390,3602
44391,1877
44392,2194
44393,2194
44394,2194
44395,2333
44396,2194
44397,2194
44398,1877
44399,1877
44400,1877
44401,1877
44402,3772
44403,3772
44404,1877
44405,1877
44406,2782
44407,2308
44408,2308
44409,1877
44410,1877
44411,1877
44412,1877
44413,1877
44414,1877
44415,1697
44416,1877
44417,1877
44418,6982
44419,1877
44420,1877
44421,1877
44422,1827
44423,1827
44424,1827
44425,1827
44426,3772
44427,3772
44428,3772
44429,1877
44430,1877
44431,6546
44432,6546
44433,3552
44434,3552
44435,1877
44436,1877
44437,1877
44438,3246
44439,1877
44440,2356
44441,2356
44442,2356
44443,2356
44444,1877
44445,1877
44446,2194
44447,2782
44448,1697
44449,1697
44450,753
44451,1877
44452,1877
44453,1877
44454,1877
44455,1877
44456,2333
44457,2333
44458,3004
44459,3004
44460,1877
44461,1877
44462,1877
44463,1877
44464,1962
44465,1877
44466,2356
44467,1877
44468,1877
44469,1877
44470,1877
44471,1877
44472,2333
44473,2333
44474,2333
44475,2333
44476,1877
44477,1877
44478,1877
44479,1877
44480,1877
44481,1877
44482,1877
44483,1877
44484,3772
44485,3772
44486,2194
44487,2333
44488,2333
44489,1923
44490,1877
44491,1877
44492,2308
44493,2194
44494,1877
44495,1877
44496,3772
44497,3772
44498,1877
44499,1877
44500,1877
44501,1923
44502,3602
44503,1877
44504,1877
44505,1877
44506,1877
44507,2333
44508,2333
44509,3246
44510,1877
44511,3246
44512,3246
44513,3246
44514,1877
44515,3366
44516,1877
44517,1877
44518,0
44519,755
44520,755
44521,1877
44522,1877
44523,1877
44524,2194
44525,1877
44526,1877
44527,2333
44528,2333
44529,2333
44530,1877
44531,1877
44532,1877
44533,1877
44534,1877
44535,1877
44536,1877
44537,1877
44538,2356
44539,2356
44540,3602
44541,1877
44542,1877
44543,6982
44544,6982
44545,1877
44546,1877
44547,1877
44548,1877
44549,1877
44550,1877
44551,1877
44552,3246
44553,2333
44554,1877
44555,1877
44556,1877
44557,2670
44558,1877
44559,1877
44560,2732
44561,1877
44562,1877
44563,2356
44564,2356
44565,44
44566,1877
44567,1877
44568,1877
44569,1877
44570,2194
44571,1877
44572,2308
44573,436
44574,436
44575,1877
44576,1877
44577,2308
44578,1877
44579,1877
44580,1877
44581,1962
44582,2700
44583,2700
44584,1877
44585,3602
44586,1877
44587,1877
44588,3246
44589,3246
44590,1877
44591,1877
44592,1877
44593,1697
44594,1877
44595,1877
44596,1877
44597,1877
44598,1877
44599,1877
44600,1877
44601,1877
44602,2308
44603,1877
44604,1877
44605,2333
44606,1877
44607,1877
44608,1877
44609,1877
44610,1877
44611,3772
44612,3772
44613,1877
44614,1877
44615,2356
44616,2356
44617,2333
44618,1588
44619,1877
44620,1877
44621,1877
44622,1877
44623,1877
44624,1877
44625,1877
44626,1877
44627,1877
44628,1877
44629,1877
44630,1877
44631,1877
44632,2194
44633,3772
44634,3772
44635,1923
44636,1877
44637,1877
44638,1877
44639,1877
44640,2194
44641,2333
44642,2194
44643,2333
44644,2194
44645,2194
44646,1877
44647,1877
44648,1877
44649,1877
44650,1877
44651,1877
44652,1877
44653,1877
44654,1877
44655,1877
44656,1923
44657,1923
44658,1877
44659,1877
44660,2333
44661,2333
44662,1877
44663,1877
44664,1877
44665,3602
44666,1945
44667,1877
44668,1877
44669,1877
44670,1877
44671,1877
44672,1877
44673,1877
44674,3246
44675,2194
44676,2194
44677,2194
44678,1877
44679,1877
44680,2333
44681,1877
44682,1877
44683,1877
44684,1877
44685,1877
44686,3772
44687,3772
44688,1877
44689,1877
44690,1877
44691,1877
44692,1877
44693,1877
44694,2308
44695,1877
44696,1877
44697,1877
44698,2356
44699,2356
44700,1877
44701,1877
44702,4387
44703,4387
44704,2194
44705,2194
44706,3772
44707,3772
44708,2333
44709,1877
44710,2333
44711,2333
44712,1877
44713,1877
44714,1877
44715,1877
44716,2333
44717,2333
44718,1877
44719,9307
44720,9307
44721,1877
44722,1877
44723,2194
44724,3964
44725,3964
44726,1877
44727,1877
44728,1877
44729,1877
44730,1877
44731,1877
44732,1877
44733,2194
44734,2194
44735,1877
44736,1877
44737,3602
44738,1877
44739,1877
44740,1877
44741,1877
44742,1877
44743,1877
44744,1877
44745,1877
44746,1877
44747,3602
44748,997
44749,997
44750,997
44751,1877
44752,2700
44753,2700
44754,3602
44755,3602
44756,2670
44757,2670
44758,1877
44759,1877
44760,1877
44761,1877
44762,2782
44763,2782
44764,3772
44765,3772
44766,0
44767,1877
44768,1877
44769,1877
44770,1877
44771,1877
44772,1834
44773,1834
44774,1877
44775,1877
44776,1877
44777,2194
44778,2194
44779,1877
44780,1877
44781,2333
44782,2333
44783,1877
44784,1877
44785,1877
44786,1877
44787,1877
44788,2333
44789,2333
44790,2333
44791,2333
44792,1877
44793,1877
44794,1877
44795,1877
44796,1877
44797,3772
44798,3772
44799,3602
44800,3602
44801,1877
44802,1877
44803,1877
44804,1697
44805,1697
44806,1877
44807,1877
44808,899
44809,899
44810,1877
44811,1877
44812,1877
44813,1877
44814,1877
44815,2333
44816,1877
44817,1300
44818,1877
44819,1877
44820,1877
44821,3246
44822,3246
44823,1877
44824,2194
44825,1962
44826,1962
44827,1877
44828,1877
44829,6982
44830,6982
44831,6982
44832,3602
44833,3602
44834,1877
44835,1877
44836,1877
44837,2194
44838,2194
44839,2194
44840,1877
44841,1877
44842,1877
44843,2356
44844,1877
44845,1877
44846,755
44847,755
44848,1877
44849,1877
44850,1877
44851,3552
44852,6546
44853,6546
44854,1877
44855,1877
44856,1877
44857,1877
44858,1877
44859,1877
44860,2965
44861,2965
44862,1877
44863,1877
44864,3602
44865,1361
44866,1361
44867,1361
44868,1361
44869,1361
44870,1361
44871,1361
44872,1361
44873,1361
44874,1361
44875,1361
44876,1361
44877,1425
44878,1425
44879,1425
44880,1425
44881,1207
44882,1207
44883,1425
44884,1425
44885,1425
44886,1361
44887,1361
44888,1361
44889,80
44890,80
44891,1425
44892,1425
44893,1425
44894,1207
44895,1425
44896,1361
44897,1425
44898,1425
44899,1425
44900,1361
44901,1361
44902,1361
44903,1361
44904,1361
44905,1361
44906,80
44907,80
44908,1361
44909,1425
44910,1425
44911,1425
44912,1425
44913,1425
44914,1425
44915,1207
44916,1207
44917,1361
44918,1361
44919,1361
44920,1361
44921,1361
44922,1361
44923,1361
44924,1361
44925,3334
44926,3334
44927,1361
44928,1361
44929,1425
44930,1361
44931,1425
44932,1361
44933,1877
44934,1877
44935,1877
44936,1877
44937,1877
44938,2194
44939,2194
44940,1877
44941,2356
44942,2356
44943,1877
44944,1877
44945,1877
44946,1877
44947,1877
44948,1877
44949,1877
44950,3602
44951,2333
44952,1877
44953,1877
44954,1877
44955,1877
44956,1877
44957,1877
44958,1877
44959,1923
44960,1877
44961,1962
44962,1877
44963,2356
44964,2356
44965,2356
44966,3246
44967,3246
44968,3246
44969,1361
44970,3004
44971,3004
44972,1877
44973,1877
44974,1361
44975,1361
44976,1361
44977,1361
44978,3772
44979,1877
44980,1877
44981,1877
44982,1877
44983,3772
44984,1877
44985,1361
44986,1877
44987,1361
44988,1361
44989,1361
44990,1361
44991,1361
44992,1877
44993,1877
44994,1877
44995,1877
44996,1877
44997,1877
44998,2356
44999,2356
45000,3772
45001,3772
45002,1877
45003,1877
45004,1877
45005,1877
45006,1877
45007,1877
45008,1877
45009,1877
45010,1877
45011,1877
45012,1877
45013,436
45014,1877
45015,1877
45016,1877
45017,1877
45018,1877
45019,1877
45020,1877
45021,1877
45022,1877
45023,2333
45024,2194
45025,1877
45026,1877
45027,1877
45028,1877
45029,1877
45030,1877
45031,2356
45032,1915
45033,1915
45034,2732
45035,2732
45036,1877
45037,1877
45038,1877
45039,2333
45040,2333
45041,1877
45042,2333
45043,1877
45044,3964
45045,2356
45046,2333
45047,1923
45048,1923
45049,1877
45050,3246
45051,3246
45052,1361
45053,2356
45054,2356
45055,2356
45056,1877
45057,2333
45058,2333
45059,1877
45060,1877
45061,1877
45062,2333
45063,1877
45064,1877
45065,3246
45066,3246
45067,3246
45068,2356
45069,2356
45070,1361
45071,1361
45072,1877
45073,1877
45074,436
45075,1877
45076,1877
45077,1877
45078,1877
45079,1877
45080,1877
45081,1877
45082,2194
45083,1877
45084,2356
45085,1877
45086,1877
45087,1877
45088,3351
45089,3351
45090,1361
45091,1361
45092,1361
45093,1877
45094,1877
45095,755
45096,1361
45097,1425
45098,1361
45099,1207
45100,4202
45101,4202
45102,1361
45103,1877
45104,1877
45105,1361
45106,2194
45107,2194
45108,2194
45109,4244
45110,4244
45111,1361
45112,4244
45113,4244
45114,4244
45115,4244
45116,4244
45117,4244
45118,1207
