,Расстояние
644,1877
645,1361
646,1962
647,1877
648,1877
649,1877
650,1877
651,1877
652,1877
653,1877
654,1877
655,1877
656,1877
657,3772
658,3772
659,1877
660,1877
661,1877
662,1877
663,1877
664,1877
665,1877
666,1877
667,1877
668,1877
669,1877
670,2146
671,2146
672,1877
673,1877
674,1877
675,1877
676,1877
677,1877
678,1877
679,1877
680,1877
681,2356
682,2356
683,1877
684,1877
685,1877
686,1877
687,1877
688,169
689,169
690,1877
691,1877
692,1877
693,2356
694,2356
695,2356
696,2356
697,1425
698,80
699,80
700,80
701,4244
702,1361
703,2356
704,2356
705,2356
706,2356
707,2356
708,2356
709,2356
710,2356
711,3772
712,3772
713,2356
714,2356
715,2356
716,1877
717,1877
718,1877
719,1877
720,1877
721,1877
722,0
723,2356
724,2356
725,1877
726,2782
727,1877
728,1877
729,753
730,80
731,2009
732,2009
733,1877
734,1877
735,6489
736,1877
737,1877
738,1877
739,1877
740,1877
741,1877
742,1877
743,1877
744,1877
745,1877
746,1877
747,1877
748,1877
749,1450
750,1877
751,1877
752,1877
753,1877
754,1877
755,1877
756,1877
757,1877
758,4244
759,2732
760,1877
761,1877
762,1877
763,2356
764,2356
765,2356
766,2356
767,2356
768,1425
769,1877
770,1877
771,1877
772,1877
773,1877
774,1877
775,4244
776,1877
777,1361
778,1877
779,1877
780,1877
781,2356
782,2356
783,1877
784,1877
785,1877
786,1877
787,1877
788,1877
789,2333
790,2333
791,2356
792,2194
793,2194
794,2194
795,1425
796,1425
797,2356
798,0
799,0
800,0
801,1877
802,1877
803,1877
804,1877
805,1877
806,1877
807,3772
808,3772
809,1877
810,1877
811,1877
812,1877
813,1877
814,1877
815,2333
816,4244
817,4244
818,1361
819,1425
820,1425
821,1877
822,436
823,1877
824,4202
825,4202
826,1877
827,1877
828,1877
829,1361
830,1361
831,1877
832,1877
833,1877
834,1877
835,1877
836,2732
837,2356
838,2356
839,2356
840,2356
841,4244
842,4244
843,4244
844,1877
845,1877
846,1877
847,3964
848,1877
849,3772
850,3772
851,1877
852,1877
853,1877
854,1877
855,2333
856,1877
857,1877
858,4244
859,4244
860,1877
861,1425
862,6489
863,1877
864,1877
865,3772
866,3772
867,4244
868,4244
869,2356
870,2356
871,1877
872,1877
873,80
874,80
875,1877
876,1877
877,1877
878,1361
879,2732
880,2732
881,1877
882,2146
883,2146
884,2146
885,1877
886,1877
887,1877
888,1877
889,1877
890,1877
891,1877
892,1877
893,1877
894,1962
895,1962
896,1962
897,4244
898,1877
899,2356
900,2356
901,2356
902,1877
903,1877
904,1877
905,1877
906,1877
907,1877
908,1877
909,1877
910,1877
911,1877
912,1877
913,1877
914,4244
915,4244
916,1877
917,1877
918,1361
919,1361
920,1877
921,2356
922,2333
923,1877
924,1877
925,1877
926,1877
927,1877
928,1877
929,1877
930,1877
931,1877
932,1877
933,1877
934,1877
935,1877
936,80
937,80
938,1877
939,1361
940,1877
941,1877
942,1877
943,1877
944,4244
945,1877
946,1877
947,1877
